Ano;Dia;Hora;Casa;Fora;GC;GF;Res
2013;30/05/2013;01:00:00;Flamengo RJ;Ponte Preta;0;2;F
2013;30/05/2013;01:00:00;Nautico;Vitoria;0;3;F
2013;30/05/2013;02:00:00;Goias;Corinthians;1;1;e
2013;30/05/2013;23:30:00;Internacional;Criciuma;2;0;C
2013;01/06/2013;20:20:00;Atletico-PR;Flamengo RJ;2;2;e
2013;01/06/2013;20:20:00;Botafogo RJ;Cruzeiro;2;1;C
2013;01/06/2013;20:20:00;Santos;Gremio;1;1;e
2013;01/06/2013;22:30:00;Goias;Coritiba;1;1;e
2013;01/06/2013;22:30:00;Vitoria;Vasco;2;0;C
2013;02/06/2013;01:00:00;Corinthians;Ponte Preta;1;0;C
2013;02/06/2013;22:30:00;Atletico-MG;Sao Paulo;0;0;e
2013;02/06/2013;22:30:00;Fluminense;Criciuma;3;0;C
2013;02/06/2013;22:30:00;Internacional;Bahia;1;2;F
2013;02/06/2013;22:30:00;Nautico;Portuguesa;2;2;e
2013;05/06/2013;23:30:00;Criciuma;Santos;3;1;C
2013;05/06/2013;23:30:00;Portuguesa;Internacional;1;1;e
2013;05/06/2013;23:30:00;Sao Paulo;Goias;0;1;F
2013;06/06/2013;01:00:00;Gremio;Vitoria;1;0;C
2013;06/06/2013;01:00:00;Ponte Preta;Atletico-PR;3;4;F
2013;06/06/2013;01:00:00;Vasco;Atletico-MG;2;0;C
2013;06/06/2013;02:00:00;Bahia;Botafogo RJ;2;1;C
2013;06/06/2013;02:00:00;Cruzeiro;Corinthians;1;0;C
2013;06/06/2013;02:00:00;Flamengo RJ;Nautico;0;1;F
2013;07/06/2013;01:00:00;Coritiba;Fluminense;2;1;C
2013;08/06/2013;20:20:00;Criciuma;Flamengo RJ;0;3;F
2013;08/06/2013;20:20:00;Cruzeiro;Internacional;2;2;e
2013;08/06/2013;22:30:00;Corinthians;Portuguesa;0;0;e
2013;08/06/2013;22:30:00;Vasco;Bahia;1;1;e
2013;09/06/2013;01:00:00;Ponte Preta;Botafogo RJ;0;2;F
2013;09/06/2013;22:30:00;Atletico-MG;Gremio;2;0;C
2013;09/06/2013;22:30:00;Coritiba;Nautico;1;0;C
2013;09/06/2013;22:30:00;Fluminense;Goias;2;1;C
2013;09/06/2013;22:30:00;Vitoria;Atletico-PR;3;2;C
2013;12/06/2013;23:30:00;Santos;Atletico-MG;1;0;C
2013;13/06/2013;02:00:00;Gremio;Sao Paulo;1;1;e
2013;13/06/2013;02:00:00;Portuguesa;Fluminense;2;1;C
2013;06/07/2013;22:30:00;Atletico-PR;Gremio;1;1;e
2013;06/07/2013;22:30:00;Flamengo RJ;Coritiba;2;2;e
2013;06/07/2013;22:30:00;Nautico;Ponte Preta;1;3;F
2013;07/07/2013;01:00:00;Portuguesa;Cruzeiro;1;1;e
2013;07/07/2013;20:00:00;Bahia;Corinthians;0;2;F
2013;07/07/2013;20:00:00;Goias;Vitoria;1;0;C
2013;07/07/2013;20:00:00;Internacional;Vasco;5;3;C
2013;07/07/2013;20:00:00;Sao Paulo;Santos;0;2;F
2013;07/07/2013;22:30:00;Atletico-MG;Criciuma;3;2;C
2013;07/07/2013;22:30:00;Botafogo RJ;Fluminense;1;0;C
2013;11/07/2013;01:00:00;Sao Paulo;Bahia;1;2;F
2013;13/07/2013;22:30:00;Fluminense;Internacional;2;3;F
2013;13/07/2013;22:30:00;Santos;Portuguesa;4;1;C
2013;14/07/2013;01:00:00;Ponte Preta;Bahia;0;0;e
2013;14/07/2013;20:00:00;Corinthians;Atletico-MG;0;1;F
2013;14/07/2013;20:00:00;Coritiba;Atletico-PR;1;0;C
2013;14/07/2013;20:00:00;Gremio;Botafogo RJ;2;1;C
2013;14/07/2013;20:00:00;Vitoria;Sao Paulo;3;2;C
2013;14/07/2013;22:30:00;Criciuma;Goias;0;0;e
2013;14/07/2013;22:30:00;Cruzeiro;Nautico;3;0;C
2013;14/07/2013;22:30:00;Vasco;Flamengo RJ;0;1;F
2013;20/07/2013;22:30:00;Botafogo RJ;Nautico;2;0;C
2013;20/07/2013;22:30:00;Criciuma;Gremio;2;1;C
2013;20/07/2013;22:30:00;Sao Paulo;Cruzeiro;0;3;F
2013;21/07/2013;20:00:00;Atletico-PR;Corinthians;1;1;e
2013;21/07/2013;20:00:00;Internacional;Flamengo RJ;1;0;C
2013;21/07/2013;20:00:00;Santos;Coritiba;2;2;e
2013;21/07/2013;20:00:00;Vitoria;Bahia;0;0;e
2013;21/07/2013;22:30:00;Fluminense;Vasco;1;3;F
2013;21/07/2013;22:30:00;Goias;Portuguesa;2;1;C
2013;25/07/2013;01:00:00;Sao Paulo;Internacional;0;1;F
2013;27/07/2013;22:30:00;Portuguesa;Atletico-PR;2;3;F
2013;27/07/2013;22:30:00;Vasco;Criciuma;3;2;C
2013;28/07/2013;01:00:00;Ponte Preta;Santos;1;0;C
2013;28/07/2013;20:00:00;Corinthians;Sao Paulo;0;0;e
2013;28/07/2013;20:00:00;Cruzeiro;Atletico-MG;4;1;C
2013;28/07/2013;20:00:00;Gremio;Fluminense;2;0;C
2013;28/07/2013;20:00:00;Nautico;Internacional;3;0;C
2013;28/07/2013;22:30:00;Bahia;Goias;2;1;C
2013;28/07/2013;22:30:00;Coritiba;Vitoria;1;1;e
2013;28/07/2013;22:30:00;Flamengo RJ;Botafogo RJ;1;1;e
2013;31/07/2013;23:30:00;Atletico-MG;Atletico-PR;1;2;F
2013;31/07/2013;23:30:00;Fluminense;Cruzeiro;1;0;C
2013;31/07/2013;23:30:00;Portuguesa;Criciuma;1;1;e
2013;01/08/2013;01:00:00;Coritiba;Ponte Preta;5;3;C
2013;01/08/2013;01:50:00;Bahia;Flamengo RJ;3;0;C
2013;01/08/2013;01:50:00;Corinthians;Gremio;2;0;C
2013;01/08/2013;23:30:00;Botafogo RJ;Vitoria;2;0;C
2013;02/08/2013;01:00:00;Goias;Vasco;1;1;e
2013;03/08/2013;22:30:00;Cruzeiro;Coritiba;1;0;C
2013;04/08/2013;20:00:00;Atletico-PR;Goias;2;0;C
2013;04/08/2013;20:00:00;Criciuma;Corinthians;0;2;F
2013;04/08/2013;20:00:00;Flamengo RJ;Atletico-MG;3;0;C
2013;04/08/2013;20:00:00;Gremio;Internacional;1;1;e
2013;04/08/2013;20:00:00;Ponte Preta;Fluminense;1;1;e
2013;04/08/2013;22:30:00;Vasco;Botafogo RJ;2;3;F
2013;04/08/2013;22:30:00;Vitoria;Portuguesa;2;1;C
2013;07/08/2013;23:30:00;Criciuma;Cruzeiro;1;2;F
2013;07/08/2013;23:30:00;Vitoria;Fluminense;1;1;e
2013;08/08/2013;01:00:00;Atletico-PR;Bahia;1;0;C
2013;08/08/2013;01:00:00;Flamengo RJ;Portuguesa;1;1;e
2013;08/08/2013;01:50:00;Atletico-MG;Botafogo RJ;2;2;e
2013;08/08/2013;01:50:00;Goias;Nautico;2;1;C
2013;08/08/2013;01:50:00;Santos;Corinthians;1;1;e
2013;09/08/2013;01:00:00;Gremio;Coritiba;0;1;F
2013;09/08/2013;01:00:00;Vasco;Ponte Preta;1;1;e
2013;10/08/2013;22:30:00;Botafogo RJ;Goias;1;1;e
2013;10/08/2013;22:30:00;Nautico;Atletico-MG;0;0;e
2013;11/08/2013;20:00:00;Corinthians;Vitoria;2;0;C
2013;11/08/2013;20:00:00;Coritiba;Vasco;0;1;F
2013;11/08/2013;20:00:00;Cruzeiro;Santos;0;0;e
2013;11/08/2013;20:00:00;Fluminense;Flamengo RJ;2;3;F
2013;11/08/2013;22:30:00;Bahia;Gremio;0;3;F
2013;11/08/2013;22:30:00;Internacional;Atletico-PR;2;2;e
2013;11/08/2013;22:30:00;Ponte Preta;Criciuma;3;1;C
2013;11/08/2013;22:30:00;Portuguesa;Sao Paulo;2;1;C
2013;14/08/2013;23:30:00;Atletico-MG;Bahia;2;0;C
2013;14/08/2013;23:30:00;Criciuma;Nautico;3;0;C
2013;14/08/2013;23:30:00;Santos;Vasco;1;1;e
2013;15/08/2013;01:00:00;Coritiba;Portuguesa;1;1;e
2013;15/08/2013;01:00:00;Vitoria;Ponte Preta;3;1;C
2013;15/08/2013;01:50:00;Fluminense;Corinthians;0;0;e
2013;15/08/2013;01:50:00;Goias;Flamengo RJ;1;1;e
2013;15/08/2013;01:50:00;Gremio;Cruzeiro;3;1;C
2013;15/08/2013;23:30:00;Sao Paulo;Atletico-PR;1;1;e
2013;16/08/2013;01:00:00;Botafogo RJ;Internacional;3;3;e
2013;17/08/2013;22:30:00;Cruzeiro;Vitoria;5;1;C
2013;17/08/2013;22:30:00;Nautico;Fluminense;0;1;F
2013;18/08/2013;01:00:00;Vasco;Gremio;2;3;F
2013;18/08/2013;20:00:00;Corinthians;Coritiba;1;0;C
2013;18/08/2013;20:00:00;Flamengo RJ;Sao Paulo;0;0;e
2013;18/08/2013;20:00:00;Ponte Preta;Goias;0;1;F
2013;18/08/2013;20:00:00;Portuguesa;Botafogo RJ;1;3;F
2013;18/08/2013;22:30:00;Atletico-PR;Criciuma;2;1;C
2013;18/08/2013;22:30:00;Bahia;Santos;0;0;e
2013;18/08/2013;22:30:00;Internacional;Atletico-MG;0;0;e
2013;24/08/2013;22:30:00;Flamengo RJ;Gremio;0;1;F
2013;24/08/2013;22:30:00;Ponte Preta;Cruzeiro;0;2;F
2013;24/08/2013;22:30:00;Santos;Vitoria;2;0;C
2013;25/08/2013;01:00:00;Criciuma;Coritiba;2;1;C
2013;25/08/2013;20:00:00;Atletico-MG;Portuguesa;2;1;C
2013;25/08/2013;20:00:00;Bahia;Nautico;2;0;C
2013;25/08/2013;20:00:00;Sao Paulo;Fluminense;2;1;C
2013;25/08/2013;20:00:00;Vasco;Corinthians;1;1;e
2013;25/08/2013;22:30:00;Atletico-PR;Botafogo RJ;2;0;C
2013;25/08/2013;22:30:00;Internacional;Goias;3;3;e
2013;31/08/2013;22:30:00;Goias;Atletico-MG;0;0;e
2013;31/08/2013;22:30:00;Gremio;Ponte Preta;1;0;C
2013;31/08/2013;22:30:00;Nautico;Atletico-PR;1;4;F
2013;31/08/2013;22:30:00;Portuguesa;Bahia;4;2;C
2013;01/09/2013;01:00:00;Fluminense;Santos;0;2;F
2013;01/09/2013;20:00:00;Botafogo RJ;Sao Paulo;0;0;e
2013;01/09/2013;20:00:00;Corinthians;Flamengo RJ;4;0;C
2013;01/09/2013;20:00:00;Coritiba;Internacional;0;0;e
2013;01/09/2013;20:00:00;Vitoria;Criciuma;0;1;F
2013;01/09/2013;22:30:00;Cruzeiro;Vasco;5;3;C
2013;03/09/2013;23:30:00;Goias;Gremio;2;0;C
2013;04/09/2013;01:00:00;Nautico;Sao Paulo;0;1;F
2013;04/09/2013;23:30:00;Atletico-PR;Santos;2;1;C
2013;04/09/2013;23:30:00;Flamengo RJ;Vitoria;2;1;C
2013;05/09/2013;01:00:00;Portuguesa;Ponte Preta;2;1;C
2013;05/09/2013;01:50:00;Atletico-MG;Fluminense;2;2;e
2013;05/09/2013;01:50:00;Bahia;Cruzeiro;1;3;F
2013;05/09/2013;01:50:00;Internacional;Corinthians;1;0;C
2013;05/09/2013;23:30:00;Botafogo RJ;Coritiba;3;1;C
2013;06/09/2013;01:00:00;Nautico;Vasco;0;3;F
2013;06/09/2013;01:00:00;Sao Paulo;Criciuma;1;2;F
2013;07/09/2013;22:30:00;Fluminense;Bahia;1;0;C
2013;07/09/2013;22:30:00;Ponte Preta;Internacional;1;3;F
2013;07/09/2013;22:30:00;Santos;Goias;1;0;C
2013;07/09/2013;22:30:00;Vitoria;Atletico-MG;1;1;e
2013;08/09/2013;01:00:00;Gremio;Portuguesa;3;2;C
2013;08/09/2013;20:00:00;Corinthians;Nautico;0;0;e
2013;08/09/2013;20:00:00;Coritiba;Sao Paulo;2;0;C
2013;08/09/2013;20:00:00;Cruzeiro;Flamengo RJ;1;0;C
2013;08/09/2013;22:30:00;Criciuma;Botafogo RJ;1;2;F
2013;08/09/2013;22:30:00;Vasco;Atletico-PR;0;0;e
2013;10/09/2013;23:30:00;Internacional;Santos;1;2;F
2013;11/09/2013;23:30:00;Atletico-PR;Fluminense;1;1;e
2013;12/09/2013;01:00:00;Bahia;Criciuma;2;2;e
2013;12/09/2013;01:00:00;Goias;Cruzeiro;1;2;F
2013;12/09/2013;01:50:00;Botafogo RJ;Corinthians;1;0;C
2013;12/09/2013;01:50:00;Nautico;Gremio;0;2;F
2013;12/09/2013;01:50:00;Portuguesa;Vasco;2;0;C
2013;12/09/2013;23:30:00;Internacional;Vitoria;2;2;e
2013;13/09/2013;01:00:00;Atletico-MG;Coritiba;3;0;C
2013;13/09/2013;01:00:00;Flamengo RJ;Santos;2;1;C
2013;13/09/2013;01:00:00;Sao Paulo;Ponte Preta;1;0;C
2013;14/09/2013;22:30:00;Cruzeiro;Atletico-PR;1;0;C
2013;15/09/2013;01:00:00;Fluminense;Portuguesa;2;1;C
2013;15/09/2013;20:00:00;Corinthians;Goias;1;2;F
2013;15/09/2013;20:00:00;Coritiba;Bahia;2;2;e
2013;15/09/2013;20:00:00;Criciuma;Internacional;0;1;F
2013;15/09/2013;20:00:00;Ponte Preta;Flamengo RJ;1;1;e
2013;15/09/2013;20:00:00;Vasco;Sao Paulo;0;2;F
2013;15/09/2013;22:30:00;Gremio;Atletico-MG;0;1;F
2013;15/09/2013;22:30:00;Santos;Botafogo RJ;1;2;F
2013;15/09/2013;22:30:00;Vitoria;Nautico;2;1;C
2013;18/09/2013;23:30:00;Gremio;Santos;1;1;e
2013;18/09/2013;23:30:00;Vasco;Vitoria;1;2;F
2013;19/09/2013;01:00:00;Coritiba;Goias;2;2;e
2013;19/09/2013;01:00:00;Criciuma;Fluminense;1;2;F
2013;19/09/2013;01:50:00;Cruzeiro;Botafogo RJ;3;0;C
2013;19/09/2013;01:50:00;Ponte Preta;Corinthians;2;0;C
2013;19/09/2013;01:50:00;Sao Paulo;Atletico-MG;1;0;C
2013;19/09/2013;23:30:00;Flamengo RJ;Atletico-PR;2;4;F
2013;20/09/2013;01:00:00;Bahia;Internacional;2;0;C
2013;20/09/2013;01:00:00;Portuguesa;Nautico;3;0;C
2013;21/09/2013;22:30:00;Fluminense;Coritiba;1;1;e
2013;22/09/2013;01:00:00;Vitoria;Gremio;0;0;e
2013;22/09/2013;20:00:00;Botafogo RJ;Bahia;1;2;F
2013;22/09/2013;20:00:00;Corinthians;Cruzeiro;0;0;e
2013;22/09/2013;20:00:00;Goias;Sao Paulo;1;0;C
2013;22/09/2013;20:00:00;Internacional;Portuguesa;0;1;F
2013;22/09/2013;20:00:00;Nautico;Flamengo RJ;0;0;e
2013;22/09/2013;22:30:00;Atletico-MG;Vasco;2;1;C
2013;22/09/2013;22:30:00;Atletico-PR;Ponte Preta;1;0;C
2013;22/09/2013;22:30:00;Santos;Criciuma;2;1;C
2013;25/09/2013;23:30:00;Criciuma;Atletico-MG;1;1;e
2013;26/09/2013;01:00:00;Santos;Nautico;1;1;e
2013;28/09/2013;22:30:00;Goias;Fluminense;1;2;F
2013;28/09/2013;22:30:00;Nautico;Coritiba;3;0;C
2013;29/09/2013;01:00:00;Botafogo RJ;Ponte Preta;0;1;F
2013;29/09/2013;20:00:00;Bahia;Vasco;0;0;e
2013;29/09/2013;20:00:00;Flamengo RJ;Criciuma;4;1;C
2013;29/09/2013;20:00:00;Portuguesa;Corinthians;4;0;C
2013;29/09/2013;20:00:00;Sao Paulo;Gremio;0;1;F
2013;29/09/2013;22:30:00;Atletico-MG;Santos;3;1;C
2013;29/09/2013;22:30:00;Atletico-PR;Vitoria;3;5;F
2013;29/09/2013;22:30:00;Internacional;Cruzeiro;1;2;F
2013;01/10/2013;23:30:00;Ponte Preta;Nautico;1;2;F
2013;02/10/2013;23:30:00;Cruzeiro;Portuguesa;4;0;C
2013;02/10/2013;23:30:00;Gremio;Atletico-PR;1;0;C
2013;03/10/2013;01:00:00;Fluminense;Botafogo RJ;1;1;e
2013;03/10/2013;01:00:00;Vitoria;Goias;2;1;C
2013;03/10/2013;01:50:00;Corinthians;Bahia;2;0;C
2013;03/10/2013;01:50:00;Coritiba;Flamengo RJ;0;2;F
2013;03/10/2013;01:50:00;Santos;Sao Paulo;3;0;C
2013;03/10/2013;23:30:00;Atletico-MG;Ponte Preta;4;0;C
2013;04/10/2013;01:00:00;Vasco;Internacional;3;1;C
2013;05/10/2013;22:30:00;Botafogo RJ;Gremio;0;1;F
2013;06/10/2013;01:00:00;Sao Paulo;Vitoria;3;2;C
2013;06/10/2013;20:00:00;Atletico-MG;Corinthians;0;0;e
2013;06/10/2013;20:00:00;Atletico-PR;Coritiba;2;1;C
2013;06/10/2013;20:00:00;Flamengo RJ;Vasco;1;1;e
2013;06/10/2013;20:00:00;Internacional;Fluminense;1;0;C
2013;06/10/2013;20:00:00;Nautico;Cruzeiro;1;4;F
2013;06/10/2013;22:30:00;Bahia;Ponte Preta;1;1;e
2013;06/10/2013;22:30:00;Goias;Criciuma;1;1;e
2013;06/10/2013;22:30:00;Portuguesa;Santos;3;0;C
2013;09/10/2013;23:30:00;Coritiba;Santos;1;0;C
2013;09/10/2013;23:30:00;Gremio;Criciuma;1;2;F
2013;10/10/2013;01:00:00;Bahia;Vitoria;2;0;C
2013;10/10/2013;01:00:00;Ponte Preta;Atletico-MG;2;0;C
2013;10/10/2013;01:50:00;Corinthians;Atletico-PR;0;0;e
2013;10/10/2013;01:50:00;Cruzeiro;Sao Paulo;0;2;F
2013;10/10/2013;01:50:00;Nautico;Botafogo RJ;1;3;F
2013;10/10/2013;01:50:00;Vasco;Fluminense;1;0;C
2013;10/10/2013;23:30:00;Portuguesa;Goias;1;2;F
2013;11/10/2013;01:00:00;Flamengo RJ;Internacional;2;1;C
2013;12/10/2013;22:30:00;Fluminense;Gremio;1;1;e
2013;12/10/2013;22:30:00;Vitoria;Coritiba;2;1;C
2013;13/10/2013;01:00:00;Santos;Ponte Preta;2;1;C
2013;13/10/2013;20:00:00;Atletico-MG;Cruzeiro;1;0;C
2013;13/10/2013;20:00:00;Criciuma;Vasco;3;2;C
2013;13/10/2013;20:00:00;Internacional;Nautico;4;1;C
2013;13/10/2013;20:00:00;Sao Paulo;Corinthians;0;0;e
2013;13/10/2013;22:30:00;Atletico-PR;Portuguesa;1;0;C
2013;13/10/2013;22:30:00;Botafogo RJ;Flamengo RJ;2;1;C
2013;13/10/2013;22:30:00;Goias;Bahia;3;1;C
2013;16/10/2013;23:30:00;Cruzeiro;Fluminense;1;0;C
2013;16/10/2013;23:30:00;Santos;Internacional;0;0;e
2013;17/10/2013;01:00:00;Criciuma;Portuguesa;1;3;F
2013;17/10/2013;01:00:00;Ponte Preta;Coritiba;1;0;C
2013;17/10/2013;01:00:00;Sao Paulo;Nautico;3;0;C
2013;17/10/2013;01:50:00;Atletico-PR;Atletico-MG;1;0;C
2013;17/10/2013;01:50:00;Flamengo RJ;Bahia;2;1;C
2013;17/10/2013;01:50:00;Gremio;Corinthians;1;0;C
2013;17/10/2013;23:30:00;Vasco;Goias;0;2;F
2013;18/10/2013;01:00:00;Vitoria;Botafogo RJ;1;0;C
2013;19/10/2013;20:00:00;Fluminense;Ponte Preta;1;1;e
2013;19/10/2013;22:30:00;Nautico;Santos;1;5;F
2013;20/10/2013;01:00:00;Corinthians;Criciuma;1;0;C
2013;20/10/2013;19:00:00;Atletico-MG;Flamengo RJ;1;0;C
2013;20/10/2013;19:00:00;Bahia;Sao Paulo;0;1;F
2013;20/10/2013;19:00:00;Goias;Atletico-PR;3;0;C
2013;20/10/2013;19:00:00;Internacional;Gremio;2;2;e
2013;20/10/2013;21:30:00;Botafogo RJ;Vasco;2;2;e
2013;20/10/2013;21:30:00;Coritiba;Cruzeiro;2;1;C
2013;20/10/2013;21:30:00;Portuguesa;Vitoria;1;1;e
2013;26/10/2013;21:30:00;Botafogo RJ;Atletico-MG;1;0;C
2013;26/10/2013;21:30:00;Cruzeiro;Criciuma;5;3;C
2013;27/10/2013;18:00:00;Bahia;Atletico-PR;1;1;e
2013;27/10/2013;18:00:00;Corinthians;Santos;1;1;e
2013;27/10/2013;18:00:00;Internacional;Sao Paulo;2;3;F
2013;27/10/2013;18:00:00;Ponte Preta;Vasco;2;1;C
2013;27/10/2013;18:00:00;Portuguesa;Flamengo RJ;0;0;e
2013;27/10/2013;20:30:00;Coritiba;Gremio;4;0;C
2013;27/10/2013;20:30:00;Fluminense;Vitoria;2;3;F
2013;27/10/2013;20:30:00;Nautico;Goias;0;2;F
2013;02/11/2013;21:30:00;Sao Paulo;Portuguesa;2;1;C
2013;02/11/2013;21:30:00;Vasco;Coritiba;2;1;C
2013;02/11/2013;23:00:00;Atletico-MG;Nautico;5;0;C
2013;03/11/2013;19:00:00;Goias;Botafogo RJ;1;0;C
2013;03/11/2013;19:00:00;Gremio;Bahia;0;0;e
2013;03/11/2013;19:00:00;Santos;Cruzeiro;0;1;F
2013;03/11/2013;19:00:00;Vitoria;Corinthians;1;1;e
2013;03/11/2013;21:30:00;Atletico-PR;Internacional;1;0;C
2013;03/11/2013;21:30:00;Criciuma;Ponte Preta;1;1;e
2013;03/11/2013;21:30:00;Flamengo RJ;Fluminense;1;0;C
2013;09/11/2013;21:30:00;Bahia;Atletico-MG;0;0;e
2013;09/11/2013;21:30:00;Portuguesa;Coritiba;0;0;e
2013;09/11/2013;23:00:00;Flamengo RJ;Goias;1;1;e
2013;10/11/2013;19:00:00;Atletico-PR;Sao Paulo;3;0;C
2013;10/11/2013;19:00:00;Cruzeiro;Gremio;3;0;C
2013;10/11/2013;19:00:00;Internacional;Botafogo RJ;2;1;C
2013;10/11/2013;19:00:00;Ponte Preta;Vitoria;0;3;F
2013;10/11/2013;21:30:00;Corinthians;Fluminense;1;0;C
2013;10/11/2013;21:30:00;Nautico;Criciuma;0;1;F
2013;10/11/2013;21:30:00;Vasco;Santos;2;2;e
2013;13/11/2013;21:30:00;Goias;Ponte Preta;2;0;C
2013;13/11/2013;21:30:00;Gremio;Vasco;1;0;C
2013;13/11/2013;23:00:00;Botafogo RJ;Portuguesa;0;0;e
2013;13/11/2013;23:00:00;Criciuma;Atletico-PR;2;1;C
2013;13/11/2013;23:50:00;Coritiba;Corinthians;0;1;F
2013;13/11/2013;23:50:00;Sao Paulo;Flamengo RJ;2;0;C
2013;13/11/2013;23:50:00;Vitoria;Cruzeiro;1;3;F
2013;14/11/2013;21:30:00;Santos;Bahia;3;0;C
2013;14/11/2013;23:00:00;Atletico-MG;Internacional;2;1;C
2013;14/11/2013;23:00:00;Fluminense;Nautico;2;0;C
2013;16/11/2013;21:30:00;Botafogo RJ;Atletico-PR;4;0;C
2013;16/11/2013;23:00:00;Coritiba;Criciuma;1;2;F
2013;17/11/2013;19:00:00;Corinthians;Vasco;0;0;e
2013;17/11/2013;19:00:00;Cruzeiro;Ponte Preta;2;2;e
2013;17/11/2013;19:00:00;Fluminense;Sao Paulo;2;1;C
2013;17/11/2013;19:00:00;Vitoria;Santos;2;0;C
2013;17/11/2013;21:30:00;Goias;Internacional;3;1;C
2013;17/11/2013;21:30:00;Gremio;Flamengo RJ;2;1;C
2013;17/11/2013;21:30:00;Nautico;Bahia;0;1;F
2013;17/11/2013;21:30:00;Portuguesa;Atletico-MG;2;0;C
2013;23/11/2013;21:30:00;Criciuma;Vitoria;1;1;e
2013;23/11/2013;21:30:00;Vasco;Cruzeiro;2;1;C
2013;23/11/2013;23:00:00;Atletico-MG;Goias;4;1;C
2013;24/11/2013;19:00:00;Atletico-PR;Nautico;6;1;C
2013;24/11/2013;19:00:00;Flamengo RJ;Corinthians;1;0;C
2013;24/11/2013;19:00:00;Ponte Preta;Gremio;1;1;e
2013;24/11/2013;19:00:00;Santos;Fluminense;1;0;C
2013;24/11/2013;21:30:00;Bahia;Portuguesa;1;0;C
2013;24/11/2013;21:30:00;Internacional;Coritiba;0;0;e
2013;24/11/2013;21:30:00;Sao Paulo;Botafogo RJ;1;1;e
2013;30/11/2013;21:30:00;Fluminense;Atletico-MG;2;2;e
2013;30/11/2013;23:00:00;Corinthians;Internacional;0;0;e
2013;01/12/2013;19:00:00;Coritiba;Botafogo RJ;2;1;C
2013;01/12/2013;19:00:00;Criciuma;Sao Paulo;1;0;C
2013;01/12/2013;19:00:00;Cruzeiro;Bahia;1;2;F
2013;01/12/2013;19:00:00;Ponte Preta;Portuguesa;0;2;F
2013;01/12/2013;19:00:00;Vasco;Nautico;2;0;C
2013;01/12/2013;19:00:00;Vitoria;Flamengo RJ;4;2;C
2013;01/12/2013;21:30:00;Gremio;Goias;1;0;C
2013;01/12/2013;21:30:00;Santos;Atletico-PR;2;1;C
2013;07/12/2013;21:00:00;Flamengo RJ;Cruzeiro;1;1;e
2013;07/12/2013;21:30:00;Nautico;Corinthians;1;0;C
2013;08/12/2013;19:00:00;Atletico-MG;Vitoria;2;2;e
2013;08/12/2013;19:00:00;Atletico-PR;Vasco;5;1;C
2013;08/12/2013;19:00:00;Bahia;Fluminense;1;2;F
2013;08/12/2013;19:00:00;Botafogo RJ;Criciuma;3;0;C
2013;08/12/2013;19:00:00;Goias;Santos;0;3;F
2013;08/12/2013;19:00:00;Internacional;Ponte Preta;0;0;e
2013;08/12/2013;19:00:00;Portuguesa;Gremio;0;0;e
2013;08/12/2013;19:00:00;Sao Paulo;Coritiba;0;1;F
2014;19/04/2014;22:30:00;Fluminense;Figueirense;3;0;C
2014;19/04/2014;22:30:00;Internacional;Vitoria;1;0;C
2014;20/04/2014;01:00:00;Chapecoense-SC;Coritiba;0;0;e
2014;20/04/2014;20:00:00;Atletico-MG;Corinthians;0;0;e
2014;20/04/2014;20:00:00;Atletico-PR;Gremio;1;0;C
2014;20/04/2014;20:00:00;Bahia;Cruzeiro;1;2;F
2014;20/04/2014;20:00:00;Sao Paulo;Botafogo RJ;3;0;C
2014;20/04/2014;22:30:00;Criciuma;Palmeiras;1;2;F
2014;20/04/2014;22:30:00;Flamengo RJ;Goias;0;0;e
2014;20/04/2014;22:30:00;Santos;Sport Recife;1;1;e
2014;26/04/2014;22:30:00;Coritiba;Santos;0;0;e
2014;27/04/2014;01:00:00;Palmeiras;Fluminense;0;1;F
2014;27/04/2014;20:00:00;Botafogo RJ;Internacional;2;2;e
2014;27/04/2014;20:00:00;Corinthians;Flamengo RJ;2;0;C
2014;27/04/2014;20:00:00;Cruzeiro;Sao Paulo;1;1;e
2014;27/04/2014;20:00:00;Vitoria;Atletico-PR;2;2;e
2014;27/04/2014;22:30:00;Figueirense;Bahia;0;2;F
2014;27/04/2014;22:30:00;Goias;Criciuma;1;0;C
2014;27/04/2014;22:30:00;Gremio;Atletico-MG;2;1;C
2014;27/04/2014;22:30:00;Sport Recife;Chapecoense-SC;2;1;C
2014;03/05/2014;22:30:00;Atletico-PR;Cruzeiro;2;3;F
2014;03/05/2014;22:30:00;Santos;Gremio;0;0;e
2014;03/05/2014;22:30:00;Sao Paulo;Coritiba;2;2;e
2014;04/05/2014;01:00:00;Fluminense;Vitoria;1;2;F
2014;04/05/2014;20:00:00;Bahia;Botafogo RJ;1;0;C
2014;04/05/2014;20:00:00;Criciuma;Figueirense;1;0;C
2014;04/05/2014;20:00:00;Flamengo RJ;Palmeiras;4;2;C
2014;04/05/2014;20:00:00;Internacional;Sport Recife;2;1;C
2014;04/05/2014;22:30:00;Atletico-MG;Goias;0;1;F
2014;04/05/2014;22:30:00;Chapecoense-SC;Corinthians;0;1;F
2014;10/05/2014;22:30:00;Internacional;Atletico-PR;2;1;C
2014;10/05/2014;22:30:00;Palmeiras;Goias;2;0;C
2014;11/05/2014;01:00:00;Botafogo RJ;Criciuma;6;0;C
2014;11/05/2014;20:00:00;Atletico-MG;Cruzeiro;2;1;C
